City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Basco,PH,20.4487,121.9702,84.51,78,27,12.26,scattered clouds
109,Hauknes,NO,66.2833,14.0667,40.8,86,100,4.32,overcast clouds
110,Laa,SL,8.0797,-10.7732,72.14,99,100,1.9,light rain
111,Srednekolymsk,RU,67.45,153.6833,35.73,51,69,18.12,broken clouds
112,Loei,TH,17.4167,101.5,70.02,88,15,2.24,few clouds
113,Adre,TD,13.4667,22.2,73.62,73,37,2.15,scattered clouds
114,Antofagasta,CL,-23.65,-70.4,57.72,82,100,5.48,overcast clouds
115,Albemarle,US,35.3501,-80.2001,79.68,94,1,0.0,clear sky
116,Clonakilty,IE,51.6231,-8.8706,52.81,88,1,10.87,clear sky
117,Pinawa,CA,50.1489,-95.8811,68.59,54,6,13.76,clear sky
118,Touzim,CZ,50.0605,12.9851,53.35,92,100,3.15,overcast clouds
119,Nyrob,RU,60.733,56.7202,33.13,89,100,9.78,overcast clouds
120,Nampula,MZ,-15.1165,39.2666,66.76,78,100,10.74,overcast clouds
121,Avarua,CK,-21.2078,-159.775,78.85,65,11,17.27,few clouds
122,Nainpur,IN,22.4333,80.1167,72.14,93,100,2.48,overcast clouds
123,Mehamn,NO,71.0357,27.8492,41.29,78,0,13.0,clear sky
124,Batagay,RU,67.6333,134.6333,31.5,91,100,5.17,overcast clouds
125,Sosua,DO,19.7667,-70.5167,78.78,94,20,5.75,few clouds
126,Vardo,NO,70.3705,31.1107,43.47,77,4,19.55,clear sky
127,Svetlaya,RU,46.5389,138.3297,60.1,38,100,4.29,overcast clouds
128,Kerema,PG,-7.9631,145.7785,81.52,80,49,3.18,light rain
129,Tura,IN,25.5198,90.2201,73.98,95,34,2.73,scattered clouds
130,Xai-Xai,MZ,-25.0519,33.6442,59.74,65,0,1.66,clear sky
131,Taldan,RU,53.6667,124.8,48.54,49,0,5.91,clear sky
132,Wexford,IE,52.3342,-6.4575,60.58,86,100,11.54,overcast clouds
133,Kuryk,KZ,43.2,51.65,62.35,34,1,9.71,clear sky
134,Najran,SA,17.4924,44.1277,77.04,15,89,3.78,overcast clouds
135,Khani,GE,41.9563,42.9566,53.17,79,6,5.77,clear sky
136,Espirito Santo Do Pinhal,BR,-22.1158,-46.6828,75.72,41,61,5.3,broken clouds
137,Ponta Do Sol,PT,32.6667,-17.1,72.23,62,20,7.4,few clouds
138,Alpena,US,45.0617,-83.4327,57.97,88,1,0.0,clear sky
139,Port Elizabeth,ZA,-33.918,25.5701,58.1,76,1,17.27,clear sky
140,Umm Lajj,SA,25.0213,37.2685,81.45,63,4,7.96,clear sky
141,Strezhevoy,RU,60.7333,77.5889,39.18,89,44,14.85,scattered clouds
142,Lavrentiya,RU,65.5833,-171.0,39.13,92,100,10.22,overcast clouds
143,Eldorado,BR,-23.7869,-54.2836,80.83,44,85,4.12,overcast clouds
144,Barao De Cocais,BR,-19.9458,-43.4872,76.15,38,70,0.47,broken clouds
145,Guerrero Negro,MX,27.9769,-114.0611,71.51,74,16,19.48,few clouds
146,La Paz,BO,-16.5,-68.15,44.58,48,75,6.91,broken clouds
147,Neiafu,TO,-18.65,-173.9833,79.02,76,9,9.37,light rain
148,Buraydah,SA,26.326,43.975,82.45,18,6,8.61,clear sky
149,Ola,RU,59.5833,151.2833,47.03,94,100,7.94,light rain
150,Beringovskiy,RU,63.05,179.3167,49.32,63,7,3.96,clear sky
151,Vrangel,RU,42.7297,133.0839,68.05,66,100,7.29,overcast clouds
152,Kodiak,US,57.79,-152.4072,52.47,52,0,8.12,clear sky
153,Kieta,PG,-6.2167,155.6333,84.25,71,78,4.65,light rain
154,Severo-Kurilsk,RU,50.6789,156.125,52.68,92,100,14.16,light rain
155,Pringsewu,ID,-5.3582,104.9744,81.88,67,40,0.43,scattered clouds
156,Khatanga,RU,71.9667,102.5,31.59,68,1,13.04,clear sky
157,Nantucket,US,41.2835,-70.0995,66.96,94,0,11.79,clear sky
158,Grindavik,IS,63.8424,-22.4338,45.07,100,75,6.91,broken clouds
159,Santa Rosa,PH,14.3122,121.1114,81.1,89,100,10.38,overcast clouds
160,Torbay,CA,47.6666,-52.7314,61.48,94,1,14.18,clear sky
161,Forbes,AU,-33.3833,148.0167,64.56,34,0,10.58,clear sky
162,Ritchie,ZA,-29.038,24.6028,61.56,49,18,18.77,few clouds
163,Linares,CL,-35.85,-71.6,47.57,77,32,7.0,scattered clouds
164,Lompoc,US,34.6391,-120.4579,69.94,72,1,10.36,clear sky
165,Kenora,CA,49.8167,-94.4337,64.38,51,11,14.67,few clouds
166,Salalah,OM,17.0151,54.0924,80.69,94,75,4.61,broken clouds
167,Koumac,NC,-20.5667,164.2833,74.37,53,2,7.0,clear sky
168,Komsomolskiy,UZ,40.4272,71.7189,65.12,34,0,9.22,clear sky
169,Alofi,NU,-19.0595,-169.9187,78.04,80,4,13.02,light rain
170,Hamilton,US,39.1834,-84.5333,79.99,76,1,0.0,clear sky
171,Tarragona,ES,41.129,1.249,71.44,40,0,10.36,clear sky
172,Hovd,MN,48.0056,91.6419,56.97,43,0,7.43,clear sky
173,Andra,RU,62.5147,65.8878,32.16,96,100,19.13,light snow
174,Jos,NG,9.9167,8.9,64.78,87,7,3.94,clear sky
175,Saldanha,ZA,-33.0117,17.9442,57.25,86,100,21.12,overcast clouds
176,Aklavik,CA,68.2191,-135.0107,45.32,74,100,6.02,overcast clouds
177,Flin Flon,CA,54.7682,-101.865,62.11,51,100,9.8,overcast clouds
178,Malkapur,IN,20.8833,76.2,73.51,95,59,4.36,broken clouds
179,Fortuna,US,40.5982,-124.1573,67.12,62,75,5.01,broken clouds
180,Boa Vista,BR,2.8197,-60.6733,82.38,74,75,6.91,broken clouds
181,Belvedere Marittimo,IT,39.6179,15.8617,72.12,64,77,4.34,broken clouds
182,Mezen,RU,65.8522,44.24,40.8,74,100,5.93,overcast clouds
183,Aktau,KZ,43.65,51.2,50.58,37,0,11.45,clear sky
184,Marzuq,YE,14.4,46.4667,83.12,20,94,1.79,overcast clouds
185,Liwale,TZ,-9.7667,37.9333,63.77,96,58,2.51,broken clouds
186,Vestmannaeyjar,IS,63.4427,-20.2734,52.09,85,14,12.97,few clouds
187,Jimani,DO,18.4917,-71.8502,78.69,80,23,4.18,few clouds
188,Doha,QA,25.2867,51.5333,87.78,74,0,3.44,clear sky
189,Bloomington,US,44.8408,-93.2983,74.1,51,1,1.01,clear sky
190,Talnakh,RU,69.4865,88.3972,40.93,97,100,3.2,light rain
191,Husavik,IS,66.0449,-17.3389,49.32,85,48,9.73,scattered clouds
192,Udachnyy,RU,66.4167,112.4,32.68,82,58,3.8,broken clouds
193,Nikolskoye,RU,59.7035,30.7861,39.09,85,100,6.38,overcast clouds
194,Ilebo,CD,-4.3167,20.5833,69.26,95,95,2.48,light rain
195,Zaranj,AF,30.9667,61.8833,79.43,24,94,18.5,overcast clouds
196,Nagato,JP,34.3833,131.2,76.03,70,25,16.33,scattered clouds
197,Mercedes,AR,-34.6515,-59.4307,62.85,93,0,7.61,clear sky
198,Betafo,MG,-19.8333,46.85,52.7,89,100,4.88,overcast clouds
199,Nanortalik,GL,60.1432,-45.2371,41.02,92,100,11.61,light rain
200,Saint-Philippe,RE,-21.3585,55.7679,71.15,75,100,17.31,overcast clouds
201,Seddon,AU,-37.8068,144.8916,61.34,62,90,14.0,overcast clouds
202,Cabedelo,BR,-6.9811,-34.8339,75.87,78,3,14.34,clear sky
203,Martapura,ID,-3.4167,114.85,80.69,78,20,3.44,few clouds
204,Dikson,RU,73.5069,80.5464,34.12,75,10,26.13,clear sky
205,La Ronge,CA,55.1001,-105.2842,56.1,69,100,4.72,overcast clouds
206,Balingasay,PH,16.3573,119.8564,83.34,76,13,10.4,few clouds
207,Port Blair,IN,11.6667,92.75,81.43,80,52,5.37,broken clouds
208,Okhotsk,RU,59.3833,143.3,49.35,69,85,3.02,overcast clouds
209,Zyryanka,RU,65.75,150.85,44.65,60,100,12.1,overcast clouds
210,Mao,ES,39.8885,4.2658,75.76,78,20,6.91,few clouds
211,Beloha,MG,-25.1667,45.05,61.68,61,97,7.43,overcast clouds
212,Grand Baie,MU,-20.0182,57.5802,68.45,88,91,5.53,overcast clouds
213,Kombissiri,BF,12.0656,-1.3375,75.51,75,91,4.99,overcast clouds
214,Bereda,ES,43.2686,-7.5406,55.92,100,58,1.45,broken clouds
215,Balikpapan,ID,-1.2675,116.8289,81.59,83,20,10.36,few clouds
216,Tautira,PF,-17.7333,-149.15,82.42,81,88,18.37,light rain
217,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,12.66,moderate rain
218,Gat,IL,31.61,34.7642,74.39,68,0,5.55,clear sky
219,Gedo,ET,9.0167,37.45,49.41,96,33,1.57,scattered clouds
220,Kaniama,CD,-7.5667,24.1833,68.79,88,100,3.36,overcast clouds
221,Zhireken,RU,52.8249,117.3076,46.09,66,0,3.89,clear sky
222,Ewa Beach,US,21.3156,-158.0072,83.08,64,75,11.5,broken clouds
223,Portland,US,45.5234,-122.6762,63.66,82,30,1.99,scattered clouds
224,Dingle,PH,10.9995,122.6711,83.1,77,19,0.98,few clouds
225,Mahebourg,MU,-20.4081,57.7,68.25,83,76,10.4,light rain
226,Lyngseidet,NO,69.5763,20.2189,46.49,78,100,14.18,overcast clouds
227,Grand Gaube,MU,-20.0064,57.6608,68.38,88,94,5.14,overcast clouds
228,College,US,64.8569,-147.8028,44.55,51,75,12.66,broken clouds
229,Sosva,RU,59.1766,61.8558,35.58,97,100,10.94,overcast clouds
230,Morehead,US,37.2711,-87.1764,76.71,95,1,0.0,clear sky
231,Iqaluit,CA,63.7506,-68.5145,32.76,97,100,4.88,light snow
232,Chicama,PE,-7.8447,-79.1469,63.63,81,41,6.78,scattered clouds
233,Omboue,GA,-1.5746,9.2618,75.25,81,100,5.77,overcast clouds
234,Lorengau,PG,-2.0226,147.2712,83.68,75,98,7.05,light rain
235,Souillac,MU,-20.5167,57.5167,68.36,85,75,12.95,light rain
236,Inirida,CO,3.8653,-67.9239,74.16,96,100,1.5,overcast clouds
237,Faya,SA,18.3851,42.4509,61.32,22,76,3.8,broken clouds
238,Atar,MR,20.5169,-13.0499,84.25,42,70,11.52,broken clouds
239,Kuah,MY,6.3265,99.8432,82.33,73,96,7.54,overcast clouds
240,Almazar,UZ,40.3217,69.0106,71.31,23,0,7.02,clear sky
241,Ancud,CL,-41.8697,-73.8203,45.93,83,14,3.67,few clouds
242,Chifeng,CN,42.2683,118.9636,62.71,48,100,2.55,overcast clouds
243,Pisco,PE,-13.7,-76.2167,60.03,91,44,4.41,scattered clouds
244,Palu,ID,-0.8917,119.8707,85.01,60,97,0.67,overcast clouds
245,Mattru,SL,7.6244,-11.8332,73.69,98,100,1.66,light rain
246,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,86.72,37,48,3.71,scattered clouds
247,Balad,IQ,34.0164,44.1453,81.81,24,0,9.82,clear sky
248,Te Anau,NZ,-45.4167,167.7167,44.4,93,100,6.51,heavy intensity rain
