City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Lexington,US,76.98,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
346,Bitung,ID,86.85,broken clouds,1.4451,125.1824,K2 Lembeh
352,Asyut,EG,78.22,clear sky,27.181,31.1837,Florence Hotel Assiut
355,Galveston,US,85.17,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
356,Rio Rancho,US,85.57,broken clouds,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
357,Tarpon Springs,US,81.01,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
360,Galle,LK,79.92,overcast clouds,6.0367,80.217,Amangalla
364,Dalbandin,PK,79.9,clear sky,28.8947,64.4101,Gidaan Guest House
366,Guane,CU,79.32,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
368,Amuntai,ID,81.7,scattered clouds,-2.4177,115.2494,Hotel Balqis
375,Vanimo,PG,80.96,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
376,Aquiraz,BR,80.69,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
377,Sinjai,ID,82.31,moderate rain,-5.1241,120.253,Wisma Sandika
379,Katobu,ID,81.37,overcast clouds,-4.9408,122.5276,La Ode Husein
381,Douglas,US,83.14,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
382,Nakamura,JP,81.1,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
385,Akyab,MM,80.02,moderate rain,20.15,92.9,Hotel Memory
389,Vaitape,PF,77.83,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
398,Chor,PK,84.33,scattered clouds,25.5167,69.7667,Asad U Bajeer Hotel
399,Bilma,NE,86.52,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
402,Mazagao,BR,86.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
403,Batasan,PH,82.53,few clouds,12.7667,120.7833,CORDERO Beach Resort
404,Sweetwater,US,84.22,broken clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
407,Isangel,VU,75.72,scattered clouds,-19.55,169.2667,Tanna Lodge
408,Sao Felix Do Xingu,BR,77.95,few clouds,-6.6447,-51.995,Rio Xingu Camping
409,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
412,Conceicao Do Araguaia,BR,83.34,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
413,Plainview,US,79.48,few clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
417,Baturaja,ID,79.14,scattered clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
418,Bathsheba,BB,81.46,overcast clouds,13.2167,-59.5167,Atlantis Hotel
420,Luganville,VU,79.93,broken clouds,-15.5333,167.1667,The Espiritu Hotel
426,Makakilo City,US,88.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
435,Recreio,BR,77.99,broken clouds,-21.525,-42.4692,Hotel Recreio
438,Kerrville,US,83.52,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
439,Monrovia,LR,75.2,light rain,6.3005,-10.7969,Sunset Inn
443,Sur,OM,80.83,clear sky,22.5667,59.5289,Sur Plaza Hotel
445,Mawlaik,MM,75.4,light rain,23.6333,94.4167,AKZ Guest House
451,Kalabo,ZM,77.29,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
453,Llano De Piedra,PA,77.79,overcast clouds,7.6667,-80.5667,
458,Dutse,NG,76.32,few clouds,11.7594,9.3392,Central Mosque Galamawa
461,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
464,Soe,ID,77.81,overcast clouds,-9.8607,124.284,Dena Hotel
467,Maracai,BR,81.12,clear sky,-22.6106,-50.6672,Hotel Pousada
468,Amahai,ID,79.59,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
473,Grand Island,US,81.01,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
475,Mandera,KE,77.86,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
479,Sandakan,MY,80.31,scattered clouds,5.8402,118.1179,Hotel Sandakan
481,Alta Floresta,BR,78.98,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
