City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Iwanai,JP,2021-09-17 00:09:57,42.9744,140.5089,65.53,65,100,7.74
273,Guerrero Negro,MX,2021-09-17 00:07:56,27.9769,-114.0611,73.17,68,25,21.92
274,Belyy Yar,RU,2021-09-17 00:09:58,53.6039,91.3903,44.49,93,0,4.47
275,La Asuncion,VE,2021-09-17 00:09:58,11.0333,-63.8628,80.55,83,0,17.02
276,Kokoda,PG,2021-09-17 00:09:58,-8.8785,147.7407,75.65,89,98,2.1
277,Huarmey,PE,2021-09-17 00:09:58,-10.0681,-78.1522,62.82,82,8,11.01
278,Raga,SS,2021-09-17 00:09:58,8.4596,25.678,68.52,98,100,4.41
279,Moose Factory,CA,2021-09-17 00:09:59,51.2585,-80.6094,63.81,67,92,13.02
280,Valley City,US,2021-09-17 00:05:05,46.9233,-98.0032,65.39,55,1,8.05
281,Sao Joao Da Barra,BR,2021-09-17 00:09:59,-21.6403,-41.0511,72.93,90,64,14.67
282,Zuwarah,LY,2021-09-17 00:09:18,32.9312,12.082,81.61,44,0,9.57
283,Valleyview,CA,2021-09-17 00:09:59,55.0667,-117.2859,55.58,35,92,7.38
284,Teguldet,RU,2021-09-17 00:09:59,57.3064,88.1667,46.29,97,97,3.49
285,Nyagan,RU,2021-09-17 00:10:00,62.1406,65.3936,39.42,95,100,15.64
286,Shu,KZ,2021-09-17 00:10:00,43.5983,73.7614,63.23,30,0,7.47
287,Zhangye,CN,2021-09-17 00:10:00,38.9342,100.4517,64.74,41,78,2.37
288,Kenai,US,2021-09-17 00:10:00,60.5544,-151.2583,52.03,79,90,20.71
289,Ludvika,SE,2021-09-17 00:10:01,60.1496,15.1878,46.33,89,100,7.92
290,Rocha,UY,2021-09-17 00:10:01,-34.4833,-54.3333,52.47,84,0,5.79
291,Acarau,BR,2021-09-17 00:10:01,-2.8856,-40.12,79.21,84,0,16.98
292,Pouembout,NC,2021-09-17 00:10:01,-21.1333,164.9,73.53,49,37,9.17
293,Oswego,US,2021-09-17 00:10:02,43.4501,-76.1497,67.35,88,0,4.61
294,Sept-Iles,CA,2021-09-17 00:05:55,50.2001,-66.3821,56.05,86,3,5.99
295,Gibara,CU,2021-09-17 00:10:04,21.1097,-76.1317,74.52,82,6,11.9
296,Aktau,KZ,2021-09-17 00:10:04,43.65,51.2,66.78,44,51,22.66
297,Bafoulabe,ML,2021-09-17 00:10:04,13.8065,-10.8321,75.58,92,96,1.21
